day,count
2017-01-01,69
2017-01-02,82
2017-01-03,87
2017-01-04,114
2017-01-05,101
2017-01-06,93
2017-01-07,102
2017-01-08,69
2017-01-09,93
2017-01-10,103
2017-01-11,119
2017-01-12,113
2017-01-13,114
2017-01-14,110
2017-01-15,104
2017-01-16,129
2017-01-17,94
2017-01-18,118
2017-01-19,91
2017-01-20,75
2017-01-21,101
2017-01-22,83
2017-01-23,140
2017-01-24,171
2017-01-25,174
2017-01-26,146
2017-01-27,68
2017-01-28,49
2017-01-29,51
2017-01-30,65
2017-01-31,85
2017-02-01,71
2017-02-02,82
2017-02-03,99
2017-02-04,88
2017-02-05,71
2017-02-06,89
2017-02-07,78
2017-02-08,106
2017-02-09,102
2017-02-10,111
2017-02-11,105
2017-02-12,89
2017-02-13,119
2017-02-14,81
2017-02-15,99
2017-02-16,95
2017-02-17,126
2017-02-18,119
2017-02-19,85
2017-02-20,97
2017-02-21,91
2017-02-22,89
2017-02-23,104
2017-02-24,97
2017-02-25,137
2017-02-26,72
2017-02-27,87
2017-02-28,100
2017-03-01,103
2017-03-02,86
2017-03-03,104
2017-03-04,103
2017-03-05,80
2017-03-06,97
2017-03-07,87
2017-03-08,102
2017-03-09,94
2017-03-10,115
2017-03-11,114
2017-03-12,81
2017-03-13,107
2017-03-14,99
2017-03-15,114
2017-03-16,91
2017-03-17,100
2017-03-18,109
2017-03-19,77
2017-03-20,89
2017-03-21,88
2017-03-22,118
2017-03-23,111
2017-03-24,106
2017-03-25,82
2017-03-26,73
2017-03-27,99
2017-03-28,98
2017-03-29,106
2017-03-30,106
2017-03-31,109
2017-04-01,98
2017-04-02,87
2017-04-03,86
2017-04-04,90
2017-04-05,122
2017-04-06,111
2017-04-07,113
2017-04-08,138
2017-04-09,88
2017-04-10,105
2017-04-11,132
2017-04-12,101
2017-04-13,105
2017-04-14,95
2017-04-15,106
2017-04-16,91
2017-04-17,87
2017-04-18,114
2017-04-19,114
2017-04-20,84
2017-04-21,121
2017-04-22,115
2017-04-23,87
2017-04-24,110
2017-04-25,88
2017-04-26,123
2017-04-27,108
2017-04-28,113
2017-04-29,111
2017-04-30,71
2017-05-01,89
2017-05-02,104
2017-05-03,94
2017-05-04,108
2017-05-05,66
2017-05-06,88
2017-05-07,76
2017-05-08,113
2017-05-09,83
2017-05-10,94
2017-05-11,98
2017-05-12,92
2017-05-13,117
2017-05-14,81
2017-05-15,93
2017-05-16,102
2017-05-17,103
2017-05-18,123
2017-05-19,129
2017-05-20,125
2017-05-21,114
2017-05-22,109
2017-05-23,132
2017-05-24,124
2017-05-25,99
2017-05-26,137
2017-05-27,136
2017-05-28,97
2017-05-29,103
2017-05-30,108
2017-05-31,95
2017-06-01,98
2017-06-02,110
2017-06-03,113
2017-06-04,95
2017-06-05,110
2017-06-06,91
2017-06-07,101
2017-06-08,106
2017-06-09,106
2017-06-10,112
2017-06-11,88
2017-06-12,101
2017-06-13,118
2017-06-14,123
2017-06-15,110
2017-06-16,115
2017-06-17,141
2017-06-18,70
2017-06-19,97
2017-06-20,100
2017-06-21,99
2017-06-22,107
2017-06-23,138
2017-06-24,140
2017-06-25,69
2017-06-26,111
2017-06-27,103
2017-06-28,105
2017-06-29,96
2017-06-30,118
2017-07-01,125
2017-07-02,95
2017-07-03,108
2017-07-04,96
2017-07-05,104
2017-07-06,112
2017-07-07,112
2017-07-08,94
2017-07-09,87
2017-07-10,111
2017-07-11,117
2017-07-12,106
2017-07-13,129
2017-07-14,104
2017-07-15,105
2017-07-16,82
2017-07-17,103
2017-07-18,94
2017-07-19,106
2017-07-20,101
2017-07-21,115
2017-07-22,123
2017-07-23,94
2017-07-24,90
2017-07-25,109
2017-07-26,116
2017-07-27,104
2017-07-28,112
2017-07-29,94
2017-07-30,83
2017-07-31,78
2017-08-01,95
2017-08-02,108
2017-08-03,104
2017-08-04,103
2017-08-05,100
2017-08-06,76
2017-08-07,97
2017-08-08,95
2017-08-09,125
2017-08-10,108
2017-08-11,122
2017-08-12,108
2017-08-13,79
2017-08-14,116
2017-08-15,94
2017-08-16,93
2017-08-17,104
2017-08-18,97
2017-08-19,110
2017-08-20,91
2017-08-21,114
2017-08-22,100
2017-08-23,117
2017-08-24,108
2017-08-25,130
2017-08-26,134
2017-08-27,72
2017-08-28,112
2017-08-29,104
2017-08-30,111
2017-08-31,105
2017-09-01,126
2017-09-02,123
2017-09-03,87
2017-09-04,107
2017-09-05,107
2017-09-06,126
2017-09-07,96
2017-09-08,116
2017-09-09,110
2017-09-10,87
2017-09-11,95
2017-09-12,105
2017-09-13,113
2017-09-14,129
2017-09-15,112
2017-09-16,119
2017-09-17,95
2017-09-18,117
2017-09-19,112
2017-09-20,126
2017-09-21,114
2017-09-22,116
2017-09-23,122
2017-09-24,111
2017-09-25,112
2017-09-26,119
2017-09-27,120
2017-09-28,148
2017-09-29,148
2017-09-30,107
2017-10-01,85
2017-10-02,109
2017-10-03,65
2017-10-04,52
2017-10-05,61
2017-10-06,74
2017-10-07,75
2017-10-08,49
2017-10-09,75
2017-10-10,80
2017-10-11,122
2017-10-12,114
2017-10-13,140
2017-10-14,108
2017-10-15,98
2017-10-16,104
2017-10-17,110
2017-10-18,111
2017-10-19,120
2017-10-20,135
2017-10-21,159
2017-10-22,101
2017-10-23,124
2017-10-24,132
2017-10-25,121
2017-10-26,121
2017-10-27,139
2017-10-28,137
2017-10-29,98
2017-10-30,115
2017-10-31,112
2017-11-01,107
2017-11-02,97
2017-11-03,132
2017-11-04,134
2017-11-05,82
2017-11-06,110
2017-11-07,107
2017-11-08,112
2017-11-09,101
2017-11-10,115
2017-11-11,127
2017-11-12,86
2017-11-13,120
2017-11-14,107
2017-11-15,120
2017-11-16,114
2017-11-17,126
2017-11-18,121
2017-11-19,82
2017-11-20,113
2017-11-21,92
2017-11-22,114
2017-11-23,90
2017-11-24,137
2017-11-25,150
2017-11-26,85
2017-11-27,103
2017-11-28,82
2017-11-29,124
2017-11-30,122
2017-12-01,120
2017-12-02,119
2017-12-03,73
2017-12-04,103
2017-12-05,98
2017-12-06,130
2017-12-07,114
2017-12-08,122
2017-12-09,132
2017-12-10,68
2017-12-11,80
2017-12-12,92
2017-12-13,88
2017-12-14,90
2017-12-15,122
2017-12-16,130
2017-12-17,83
2017-12-18,83
2017-12-19,101
2017-12-20,96
2017-12-21,104
2017-12-22,141
2017-12-23,127
2017-12-24,68
2017-12-25,73
2017-12-26,110
2017-12-27,91
2017-12-28,91
2017-12-29,117
2017-12-30,82
2017-12-31,71
