,day,count
0,2017-01-01,69
1,2017-01-02,82
2,2017-01-03,87
3,2017-01-04,114
4,2017-01-05,101
5,2017-01-06,93
6,2017-01-07,102
7,2017-01-08,69
8,2017-01-09,93
9,2017-01-10,103
10,2017-01-11,119
11,2017-01-12,113
12,2017-01-13,114
13,2017-01-14,110
14,2017-01-15,104
15,2017-01-16,129
16,2017-01-17,94
17,2017-01-18,118
18,2017-01-19,91
19,2017-01-20,75
20,2017-01-21,101
21,2017-01-22,83
22,2017-01-23,140
23,2017-01-24,171
24,2017-01-25,174
25,2017-01-26,146
26,2017-01-27,68
27,2017-01-28,49
28,2017-01-29,51
29,2017-01-30,65
30,2017-01-31,85
31,2017-02-01,71
32,2017-02-02,82
33,2017-02-03,99
34,2017-02-04,88
35,2017-02-05,71
36,2017-02-06,89
37,2017-02-07,78
38,2017-02-08,106
39,2017-02-09,102
40,2017-02-10,111
41,2017-02-11,105
42,2017-02-12,89
43,2017-02-13,119
44,2017-02-14,81
45,2017-02-15,99
46,2017-02-16,95
47,2017-02-17,126
48,2017-02-18,119
49,2017-02-19,85
50,2017-02-20,97
51,2017-02-21,91
52,2017-02-22,89
53,2017-02-23,104
54,2017-02-24,97
55,2017-02-25,137
56,2017-02-26,72
57,2017-02-27,87
58,2017-02-28,100
59,2017-03-01,103
60,2017-03-02,86
61,2017-03-03,104
62,2017-03-04,103
63,2017-03-05,80
64,2017-03-06,97
65,2017-03-07,87
66,2017-03-08,102
67,2017-03-09,94
68,2017-03-10,115
69,2017-03-11,114
70,2017-03-12,81
71,2017-03-13,107
72,2017-03-14,99
73,2017-03-15,114
74,2017-03-16,91
75,2017-03-17,100
76,2017-03-18,109
77,2017-03-19,77
78,2017-03-20,89
79,2017-03-21,88
80,2017-03-22,118
81,2017-03-23,111
82,2017-03-24,106
83,2017-03-25,82
84,2017-03-26,73
85,2017-03-27,99
86,2017-03-28,98
87,2017-03-29,106
88,2017-03-30,106
89,2017-03-31,109
90,2017-04-01,98
91,2017-04-02,87
92,2017-04-03,86
93,2017-04-04,90
94,2017-04-05,122
95,2017-04-06,111
96,2017-04-07,113
97,2017-04-08,138
98,2017-04-09,88
99,2017-04-10,105
100,2017-04-11,132
101,2017-04-12,101
102,2017-04-13,105
103,2017-04-14,95
104,2017-04-15,106
105,2017-04-16,91
106,2017-04-17,87
107,2017-04-18,114
108,2017-04-19,114
109,2017-04-20,84
110,2017-04-21,121
111,2017-04-22,115
112,2017-04-23,87
113,2017-04-24,110
114,2017-04-25,88
115,2017-04-26,123
116,2017-04-27,108
117,2017-04-28,113
118,2017-04-29,111
119,2017-04-30,71
120,2017-05-01,89
121,2017-05-02,104
122,2017-05-03,94
123,2017-05-04,108
124,2017-05-05,66
125,2017-05-06,88
126,2017-05-07,76
127,2017-05-08,113
128,2017-05-09,83
129,2017-05-10,94
130,2017-05-11,98
131,2017-05-12,92
132,2017-05-13,117
133,2017-05-14,81
134,2017-05-15,93
135,2017-05-16,102
136,2017-05-17,103
137,2017-05-18,123
138,2017-05-19,129
139,2017-05-20,125
140,2017-05-21,114
141,2017-05-22,109
142,2017-05-23,132
143,2017-05-24,124
144,2017-05-25,99
145,2017-05-26,137
146,2017-05-27,136
147,2017-05-28,97
148,2017-05-29,103
149,2017-05-30,108
150,2017-05-31,95
151,2017-06-01,98
152,2017-06-02,110
153,2017-06-03,113
154,2017-06-04,95
155,2017-06-05,110
156,2017-06-06,91
157,2017-06-07,101
158,2017-06-08,106
159,2017-06-09,106
160,2017-06-10,112
161,2017-06-11,88
162,2017-06-12,101
163,2017-06-13,118
164,2017-06-14,123
165,2017-06-15,110
166,2017-06-16,115
167,2017-06-17,141
168,2017-06-18,70
169,2017-06-19,97
170,2017-06-20,100
171,2017-06-21,99
172,2017-06-22,107
173,2017-06-23,138
174,2017-06-24,140
175,2017-06-25,69
176,2017-06-26,111
177,2017-06-27,103
178,2017-06-28,105
179,2017-06-29,96
180,2017-06-30,118
181,2017-07-01,125
182,2017-07-02,95
183,2017-07-03,108
184,2017-07-04,96
185,2017-07-05,104
186,2017-07-06,112
187,2017-07-07,112
188,2017-07-08,94
189,2017-07-09,87
190,2017-07-10,111
191,2017-07-11,117
192,2017-07-12,106
193,2017-07-13,129
194,2017-07-14,104
195,2017-07-15,105
196,2017-07-16,82
197,2017-07-17,103
198,2017-07-18,94
199,2017-07-19,106
200,2017-07-20,101
201,2017-07-21,115
202,2017-07-22,123
203,2017-07-23,94
204,2017-07-24,90
205,2017-07-25,109
206,2017-07-26,116
207,2017-07-27,104
208,2017-07-28,112
209,2017-07-29,94
210,2017-07-30,83
211,2017-07-31,78
212,2017-08-01,95
213,2017-08-02,108
214,2017-08-03,104
215,2017-08-04,103
216,2017-08-05,100
217,2017-08-06,76
218,2017-08-07,97
219,2017-08-08,95
220,2017-08-09,125
221,2017-08-10,108
222,2017-08-11,122
223,2017-08-12,108
224,2017-08-13,79
225,2017-08-14,116
226,2017-08-15,94
227,2017-08-16,93
228,2017-08-17,104
229,2017-08-18,97
230,2017-08-19,110
231,2017-08-20,91
232,2017-08-21,114
233,2017-08-22,100
234,2017-08-23,117
235,2017-08-24,108
236,2017-08-25,130
237,2017-08-26,134
238,2017-08-27,72
239,2017-08-28,112
240,2017-08-29,104
241,2017-08-30,111
242,2017-08-31,105
243,2017-09-01,126
244,2017-09-02,123
245,2017-09-03,87
246,2017-09-04,107
247,2017-09-05,107
248,2017-09-06,126
249,2017-09-07,96
250,2017-09-08,116
251,2017-09-09,110
252,2017-09-10,87
253,2017-09-11,95
254,2017-09-12,105
255,2017-09-13,113
256,2017-09-14,129
257,2017-09-15,112
258,2017-09-16,119
259,2017-09-17,95
260,2017-09-18,117
261,2017-09-19,112
262,2017-09-20,126
263,2017-09-21,114
264,2017-09-22,116
265,2017-09-23,122
266,2017-09-24,111
267,2017-09-25,112
268,2017-09-26,119
269,2017-09-27,120
270,2017-09-28,148
271,2017-09-29,148
272,2017-09-30,107
273,2017-10-01,85
274,2017-10-02,109
275,2017-10-03,65
276,2017-10-04,52
277,2017-10-05,61
278,2017-10-06,74
279,2017-10-07,75
280,2017-10-08,49
281,2017-10-09,75
282,2017-10-10,80
283,2017-10-11,122
284,2017-10-12,114
285,2017-10-13,140
286,2017-10-14,108
287,2017-10-15,98
288,2017-10-16,104
289,2017-10-17,110
290,2017-10-18,111
291,2017-10-19,120
292,2017-10-20,135
293,2017-10-21,159
294,2017-10-22,101
295,2017-10-23,124
296,2017-10-24,132
297,2017-10-25,121
298,2017-10-26,121
299,2017-10-27,139
300,2017-10-28,137
301,2017-10-29,98
302,2017-10-30,115
303,2017-10-31,112
304,2017-11-01,107
305,2017-11-02,97
306,2017-11-03,132
307,2017-11-04,134
308,2017-11-05,82
309,2017-11-06,110
310,2017-11-07,107
311,2017-11-08,112
312,2017-11-09,101
313,2017-11-10,115
314,2017-11-11,127
315,2017-11-12,86
316,2017-11-13,120
317,2017-11-14,107
318,2017-11-15,120
319,2017-11-16,114
320,2017-11-17,126
321,2017-11-18,121
322,2017-11-19,82
323,2017-11-20,113
324,2017-11-21,92
325,2017-11-22,114
326,2017-11-23,90
327,2017-11-24,137
328,2017-11-25,150
329,2017-11-26,85
330,2017-11-27,103
331,2017-11-28,82
332,2017-11-29,124
333,2017-11-30,122
334,2017-12-01,120
335,2017-12-02,119
336,2017-12-03,73
337,2017-12-04,103
338,2017-12-05,98
339,2017-12-06,130
340,2017-12-07,114
341,2017-12-08,122
342,2017-12-09,132
343,2017-12-10,68
344,2017-12-11,80
345,2017-12-12,92
346,2017-12-13,88
347,2017-12-14,90
348,2017-12-15,122
349,2017-12-16,130
350,2017-12-17,83
351,2017-12-18,83
352,2017-12-19,101
353,2017-12-20,96
354,2017-12-21,104
355,2017-12-22,141
356,2017-12-23,127
357,2017-12-24,68
358,2017-12-25,73
359,2017-12-26,110
360,2017-12-27,91
361,2017-12-28,91
362,2017-12-29,117
363,2017-12-30,82
364,2017-12-31,71
